Andorra;All;Canillo;Aldosa
Andorra;All;Canillo;Canillo
Andorra;All;Canillo;El Forn
Andorra;All;Canillo;El Tarter
Andorra;All;Canillo;El Vilar
Andorra;All;Canillo;Els Plans
Andorra;All;Canillo;Incles
Andorra;All;Canillo;Meritxell
Andorra;All;Canillo;Prats
Andorra;All;Canillo;Ransol
Andorra;All;Canillo;Soldeu
Andorra;All;Encamp;Encamp
Andorra;All;Encamp;Les Bons
Andorra;All;Encamp;Pas De La Casa
Andorra;All;Encamp;Vila
Andorra;All;Ordino;Ansalonga
Andorra;All;Ordino;Arans
Andorra;All;Ordino;El Serrat
Andorra;All;Ordino;La Cortinada
Andorra;All;Ordino;Llorts
Andorra;All;Ordino;Ordino
Andorra;All;Ordino;Segudet
Andorra;All;Ordino;Sorn√†s
Andorra;All;La Massana;Aldosa
Andorra;All;La Massana;Any√≥s
Andorra;All;La Massana;Arinsal
Andorra;All;La Massana;Erts
Andorra;All;La Massana;Esc√†s
Andorra;All;La Massana;La Massana
Andorra;All;La Massana;Pal
Andorra;All;La Massana;Sispony
Andorra;All;Andorra La Vella;Andorra
Andorra;All;Andorra La Vella;Santa Coloma
Andorra;All;Sant Juli√;Aixirivall
Andorra;All;Sant Juli√;Aixovall
Andorra;All;Sant Juli√;Auviny√
Andorra;All;Sant Juli√;Bixessarri
Andorra;All;Sant Juli√;Cert√©s
Andorra;All;Sant Juli√;Fontaneda
Andorra;All;Sant Juli√;Juberri
Andorra;All;Sant Juli√;Llumeneres
Andorra;All;Sant Juli√;Nagol
Andorra;All;Sant Juli√;Sant Juli√† de L√≤ria
Andorra;All;Escaldes;Escaldes-Engordany
